T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
213957, 590, 843, 37, -1050, -7770, 2030
213977, 581, 830, 38, -4060, -3780, 1750
213997, 575, 819, 38, -4830, -2240, 5530
214017, 567, 807, 39, -3080, -3920, 10990
214037, 566, 801, 37, -840, -6300, 14770
214057, 576, 809, 34, 770, -7630, 13020
214077, 585, 830, 37, 210, -5740, 5390
214097, 594, 849, 37, -1190, -2170, -4830
214117, 591, 852, 39, -980, -420, -9100
214137, 584, 835, 37, 1470, -1890, -2380
214157, 572, 810, 36, 3920, -3500, 10500
214177, 563, 791, 36, 3990, -2310, 19390
214197, 565, 796, 35, 3500, -70, 15330
214217, 571, 807, 36, 4130, 1050, 2170
214237, 573, 818, 38, 4340, 2520, -8330
214257, 568, 813, 40, 4760, 2590, -9170
214277, 566, 804, 34, 6790, 420, -1820
214297, 562, 795, 33, 9310, -2240, 6580
214317, 568, 799, 35, 6860, 840, 12250
214337, 580, 816, 39, 3080, 5530, 9660
214357, 597, 851, 36, 3780, 5810, -4200
214377, 606, 874, 37, 8260, 2310, -19950
214397, 602, 870, 37, 9310, 2310, -20370
214417, 595, 853, 36, 7070, 5180, -3990
214437, 585, 832, 35, 5460, 7280, 14350
214457, 574, 812, 38, 3990, 9870, 20160
214477, 565, 802, 41, 1750, 13300, 13020
214497, 569, 806, 38, 3010, 11760, 420
214517, 580, 829, 34, 7910, 5460, -11270
214537, 589, 846, 36, 9170, 3220, -15470
214557, 588, 847, 38, 5250, 6930, -8890
214577, 581, 830, 39, 1890, 9520, 4480
214597, 575, 814, 39, 2030, 7420, 14420
214617, 573, 808, 39, 3780, 4130, 10430
214637, 566, 808, 39, 4760, 2520, -3570
214657, 564, 807, 38, 4690, 1540, -12950
214677, 560, 797, 38, 3570, 210, -8190
214697, 561, 794, 38, 490, 560, 4620
214717, 568, 808, 41, -1680, 560, 10850
214737, 581, 823, 40, -1050, -1750, 6090
214757, 592, 845, 39, 2030, -6930, -4060
214777, 597, 854, 37, 3360, -10150, -11620
214797, 597, 860, 37, 1400, -8750, -13090
214817, 587, 847, 40, -1960, -5110, -8260
214837, 575, 818, 40, -3990, -3220, 4480
214857, 567, 797, 37, -3570, -5250, 18130
214877, 568, 796, 36, -1120, -9100, 19110
214897, 571, 812, 37, 1050, -11130, 3990
214917, 582, 835, 39, -140, -8890, -12530
214937, 588, 844, 40, -3220, -5530, -14210
214957, 592, 844, 37, -3500, -6020, -3850
214977, 580, 826, 36, -910, -8820, 6720
214997, 568, 801, 38, -350, -8400, 13370
215017, 557, 781, 37, -1400, -6230, 15400
215037, 555, 781, 35, -630, -6440, 10710
215057, 556, 787, 38, 350, -6580, 560
215077, 563, 805, 42, -1610, -3290, -6230
215097, 577, 822, 38, -1960, -2590, -4130
