T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY,LabelZ
102254,393,901,-109,4760,0,-8680,1,1,1
102274,409,910,-63,7840,2380,-10920,1,1,1
102294,381,896,-70,8750,11550,-10570,1,1,1
102314,410,895,-75,18270,26670,-13020,1,1,1
102334,353,923,-117,24850,41230,-22680,1,1,1
102354,429,904,-115,18760,36820,-21350,1,1,1
102374,362,932,-100,15750,18830,-16660,1,1,1
102394,371,924,-116,14420,12530,-11550,1,1,1
102414,383,916,-103,7910,9800,-6860,1,1,1
102434,385,920,-74,7420,10500,-4270,1,1,1
143381,614,757,-14,5740,-22120,12600,0,0,1
143401,574,786,1,-3850,-770,-8750,0,0,1
143421,550,777,54,-5250,-280,-13580,0,0,1
143441,585,680,-230,-5040,-26180,-7490,0,0,1
143461,532,768,125,-14350,-86870,4060,0,0,1
143481,561,836,126,-9310,-95480,-10080,0,0,1
143501,541,840,129,-84490,-140980,-6790,0,0,1
143521,588,941,61,-137480,-224630,8750,0,0,1
143541,590,940,73,-194880,-241290,4690,0,0,1
143561,533,945,-99,-246050,-309960,52570,0,0,1
143581,514,833,90,-269360,-328440,77980,0,0,1
143601,530,1005,16,-312200,-370720,48720,0,0,1
143621,655,1066,-105,-285320,-497630,39060,0,0,1
143641,574,962,-181,-289870,-497630,53410,0,0,1
143661,419,918,-19,-373730,-370440,27580,0,0,1
143681,383,858,-7,-328860,-390670,-24500,0,0,1
143701,512,992,-193,-232750,-459760,-51940,0,0,1
143721,411,828,-24,-237930,-409920,-27160,0,0,1
143741,339,533,-202,-286930,-353570,50190,0,0,1
143761,76,730,-532,-266280,-324870,70420,0,0,1
143781,578,1287,-688,-73150,-242830,-93030,0,0,1
143801,456,909,-152,71540,28840,-49210,0,0,1
143821,501,832,-50,95480,231490,90860,0,0,1
143841,507,781,67,119070,287840,98560,0,0,1
143861,558,803,56,81830,190470,54110,0,0,1
143881,586,833,-99,11970,22540,11480,0,0,1
143901,621,808,-75,-1820,-32200,6300,0,0,1
143921,601,786,-63,9380,-700,15540,0,0,1
143941,634,785,-96,2450,-7000,17780,0,0,1
143961,606,743,-110,8540,-16170,7420,0,0,1
143981,600,834,-48,17500,6090,5530,0,0,1
